description,image_url
"---------------------------------------------Benih Pepaya Callina IPB (IPB9).Isi kemasan 1 pack = 30 benih.KEMASAN PABRIKSK Menteri Pertanian No. 2108/Kpts/SR.120/5/2010.---------------------------------------------Pepaya Callina IPB merupakan hasil karya Prof. Dr. Sriani Sujiprihati, dosen Dept. Agronomi dan Hortikultura IPB dan peneliti di Pusat Kajian Hortikultura Tropika (PKHT) IPB. Beliau wafat pada tahun 2011.Pepaya Callina dapat ditanam di dataran rendah hingga tinggi.Umur mulai berbunga: 4 bulan setelah tanamn.Umur petik: 8 bulan setelah tanam.Bentuk buah: silendris.Warna kulit buah: hijau lumutWarna daging buah: jinggaPanjang buah rata-rata: 23.5 cmDiameter buah rata-rata 9.3 cm.Bobot perbuah rata-rata 1.25 kg.Tingkat kemanisan 11 brix.",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/2/16/5a0c0d00-3cfe-4ccf-b51a-bda000bd7767.png?ect=4g
"Benih Cabai Rawit Merah Feira IPB, Jenis Capsicum frutescensisi kemasan 1 pack = 300 benih Terdaftar No No. 921/PVHP/2021.-----------------------------------------	Produktivitas tinggi: 7.07-8.35 ton/ha	Panjang buah: 3,96-6,73cm	Umur panen 92-174 HST	jumlah buah per tanaman 103-219 buah",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/12/18/3cfffc6c-dddc-49e3-94ee-c208da6330a3.jpg?ect=4g
"Insektisida/Pestisida Organik PLANTES cairisi botol 100mlkegunaan :sebagai insektisida,pestisida, fungisida dan bakterisida serta biodegradable(aman bagi manusia dan lingkungandapat memberikan efek : penolak hama, menghambat aktivitas makan, dan menghambat peneluran hamaaturan pakai :10 ml/liter air atau 75ml untuk tangki semprot ukuran 15liter",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/20/39ec038d-3379-4113-a45a-d0ead7312de2.png?ect=4g
"-------------------------------------------Benih Bunga Matahari IPB BM1.Isi kemasan 1 pack = 50 benih,KEMASAN PABRIK-------------------------------------------Varietas ini dapat tumbuh dengan baik di dataran rendah hingga tinggi.Tinggi tanaman lebih kurang 2 m. Diamater bunga mencapai 20 cm.Jumlah bunga 5-10 kuntum/tanaman.",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/6/20/9bc06a59-9973-4247-b6dc-1401b39f9564.png?ect=4g
"benih cabai katokkonisi kemasan : 25 bijiCabai Katokkon adalah sejenis Cabai atau Lombok primadona khas Tana Toraja. Bentuknya seperti cabai Paprika namun dalam bentuk mini, gemuk bulat pendek, dengan ukuran normal sekitaran 3-4 cm dengan penampang seukuran 2 hingga 3,5 cm, bewarna hijau keunguan saat masih muda, dan bewarna merah menyegarkan saat buahnya matang untuk diolah menjadi bahan kuliner penguat rasa makanan khas Tana Toraja",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/7/29/9e030a86-166f-474d-a200-81cee977197d.jpg?ect=4g
"-------------------------------------------------------Benih Cabai Unik BHUT JOLOKIA, Isi kemasan 1 pack = 25 benih,KEMASAN PABRIK-------------------------------------------------------BHUT JOLOKIA merupakan spesies persilangan antara Capsicum chinese  dengan Capsicum frutescens, berasal dari India. Ia juga diberi nama Ghost Pepper, Ghost Chili Pepper, Ghost Chili dan Ghost Jolokia. Rasanya sangat pedas dengan tingkat kepedasan lebih dari 1 juta SHU. ",https://images.tokopedia.net/img/cache/500-square/product-1/2020/5/4/9324521/9324521_51bf6094-0a52-43a4-8f3d-7bccc62f132c_1280_1280?ect=4g
"Benih Melon Hibrida RAFALINA F1isi kemasan 20 butirKEMASAN PABRIK-------------------------------------------------------Cocok untuk dataran rendahUmur panen 60 - 65 HSTBentuk buah bulatPanjang buah 17 cmDiameter 15,8 cmWarna buah kuning bernet rapatDaging buah berwarna hijau keputihanTebal daging buah 4,7 cmRasa manis Kadar gula 8 - 110 brix Rerata bobot per buah 1,5 - 2 kg",https://images.tokopedia.net/img/cache/500-square/product-1/2019/4/9/9324521/9324521_d1b36cb4-0d12-4280-9c5d-7f8d214b8627_891_1280.jpeg?ect=4g
"------------------------------------Benih Cabai Rawit Bonita IPB. Isi 1 pack = 300 benih.Cabai rawit ini adalah cabai rawit putih, termasuk dalam spesies Capscium frutescens.Dapat beradaptasi di datan rendah hingga tinggi. Panjang buah rata-rata 4 cm, diameter buah rata-rata 1.5 cm. Potensi produktivitas 0.75 kg/tanaman.------------------------------------Tanaman: tinggi tanaman 94.30-109.4 cm, ukuran tanaman tergolong tinggi. Batang: bentuk batang bulat, diameter batang 9.67-12.06 cm, warna batang hijau Daun: bentuk daun Deltoid, panjang daun 12.7-14.7cm, lebar daun 7.2-8.9 cm, warna daun hijau tua. Bunga: bentuk bunga terompet, warna kelopak bunga hijau tua, Warna mahkota bunga hijau kekuningan, warna kepala putik kuning, warna benang sari kuning kehijaun. Buah: bentuk buah mengerucut, warna buah muda kuning, warna buah intermediet orange, warna buah tua merah, diameter buah 1.18-1.65 cm, panjang buah 3.66-4.57 cm, bobot per buah 2.68-3.38 g, ketebalan kulit buah 0.6-0.95 mm, rasa sangat pedas. Biji: warna biji kuning jerami, bentuk biji bulat pipih, berat 100 biji 0.44 g. Sifat-Sifat Khusus: terdapat bulu di tulang daun pada bagian belakang permukaan daun, ukuran cabai rawit besar, rasa sangat pedas. Hasil per tanaman tinggi.",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/5/9/379ff2d8-0f8b-491f-b0d1-522e1aa153b0.jpg?ect=4g
"benih kecipir Ungu SANDI IPBisi kemasan 25 butirPanjang polong konsumsi: 19.19 cm, diameter polong konsumsi, 2.16 cm, jumlah polong konsumsi sampai dengan umur 23 MST 8.04 polong per tanaman, bobot polong konsumsi per tanaman: 14.16 g, potensi hasil polong konsumsi sampai dengan umur 23 MST: 6.70 ton/ha, umur panen polong konsumsi: 80-83 HST.Warna biji ungu tua, bobot biji 100 butir: 37.07 g, jumlah biji per polong rata-rata 17.03 biji. Keunggulan: umur genjah, polong muda berwarna ungu, biji berwarna ungu tua, toleran dataran rendah, dan cocok digunakan sebagai tanaman sayuran.",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/20/0316070e-faae-49c9-bf05-2696ebadd948.jpg?ect=4g
Fungisida AntracolIsi 50gram repackingKemasan alumunium foil,https://images.tokopedia.net/img/cache/500-square/product-1/2020/1/20/1143377/1143377_12f1a05e-a8f8-4866-95b8-de4b4bc4d1b8_1304_1304.jpg?ect=4g
